"#","Qty","Reference","Manufacturer","Manufacturer Part Number","Value","Description","Vendor"
"36","2","L2701,L2901","Würth","74477710 ","74477710","FIXED IND 10UH 2A 49 MOHM SMD","digikey:732-1200-1-ND"
"37","8","FB1001,FB2701,FB2801,FB2901,FB3001,FB3002,FB3101,FB3201","Würth","742792040","742792040","FERRITE BEAD 600 OHM 0805 1LN","digikey:732-1620-1-ND"
"38","1","J1501","Amphenol","10029449-111RLF ","10029449-111RLF","CONN RCPT 1.4 HDMI 19POS SMD R/A","digikey:609-4614-1-ND"
"39","2","J801,J802","Amphenol","20021121-00020C4LF ","20pin 50mil Header","CONN HEADER SMD 20POS 1.27MM","digikey:609-3698-1-ND"
"40","1","J1901","3M ","3M9447-ND ","961102-6404-AR","CONN HEADER VERT 2POS 2.54MM","digikey:3M9447-ND"
"41","1","U1101","Analog Devices","AD7794BRUZ ","AD7794BRUZ","IC ADC 24BIT SIGMA-DELTA 24TSSOP","digikey:AD7794BRUZ-ND"
"42","1","U1201","Analog Devices","AD9781BCPZ ","AD9781BCPZ","IC DAC 14BIT A-OUT 72LFCSP","digikey:AD9781BCPZ-ND"
"43","2","U201,U701","Analog Devices","AD9653BCPZ-125 ","AD9653BCPZ-125","IC ADC 16BIT PIPELINED 48LFCSP","digikey:AD9653BCPZ-125-ND"
"44","1","U1801","Analog Devices","ADL5501AKSZ-R7 ","ADL5501AKSZ-R7","IC RF DETECT 50MHZ-6GHZ SC70-6","digikey:ADL5501AKSZ-R7CT-ND"
"45","1","U1301","Texas Instruments ","AMC7823IRTAT ","AMC7823IRTAT","IC ANLG MON/CTL 12B 200K 40WQFN","digikey:296-18680-1-ND"
"46","2","J1401,J1402","Samtec","ASP-134604-01","ASP-134604-01","ASP-134604-01","digikey:612-ASP-134604-01CT-ND"
"47","1","U1901","Microchip Technology ","AT24C64D-SSHM-T ","AT24C64D-SSHM-T","IC EEPROM 64KBIT I2C 1MHZ 8SOIC","digikey:AT24C64D-SSHM-TCT-ND"
"48","1","U901","Diodes Incorporated ","BAT54W-7-F ","BAT54W-7-F","DIODE SCHOTTKY 30V 200MA SOT323","digikey:BAT54W-FDICT-ND"
"49","4","FB1002,FB1003,FB1004,FB1801","Murata","BLM18AG121SN1D ","BLM18AG121SN1D","FERRITE BEAD 120 OHM 0603 1LN","digikey:490-1011-1-ND"
"50","2","C210,C710","","","DNP","",""
"51","2","C2502,C2602","Murata","GRM1885C1H271JA01D","DNP","CAP CER 270PF 50V C0G/NP0 0603","digikey:490-1437-1-ND"
"52","8","L301,L401,L501,L601,L2101,L2201,L2301,L2401","","","DNP","Inductor",""
"53","2","L2501,L2601","TDK","MLF1608D47NMTA00 ","DNP","FIXED IND 47NH 200MA 200MOHM SMD","digikey:445-1000-1-ND"
"54","2","R805,R1507","","","DNP","Resistor",""
"55","2","Q1501,Q1502","onsemi ","FDN335N ","FDN335N","MOSFET N-CH 20V 1.7A SUPERSOT3","digikey:FDN335NCT-ND"
"56","6","D801,D901,D902,D903,D1501,D1502","Kingbright ","APT1608CGCK ","Green LED","LED GREEN CLEAR CHIP SMD","digikey:754-1116-1-ND"
"57","1","U2001","Kionix","KX023-1025-FR ","KX023-1025-FR","ACCELEROMETER 2-8G I2C/SPI 16LGA","digikey:1191-1039-1-ND"
"58","1","U1002","Texas Instruments ","LMK01801BISQE/NOPB ","LMK01801BISQE/NOPB","IC CLK BUF 1:8/1:6 3.1GHZ 48WQFN","digikey:296-40276-1-ND"
"59","1","U3201","Analog Devices","LT1763IDE-1.8#PBF ","LT1763IDE-1.8#PBF","IC REG LINEAR 1.8V 500MA 12DFN","digikey:LT1763IDE-1.8#PBF-ND"
"60","1","U3101","Analog Devices","LT1763IDE-3.3#PBF ","LT1763IDE-3.3#PBF","IC REG LINEAR 3.3V 500MA 12DFN","digikey:LT1763IDE-3.3#PBF-ND"
"61","3","U903,U1601,U3001","Analog Devices","LT6233CS6#TRMPBF ","LT6233CS6#TRMPBF","IC OPAMP GP 1 CIRCUIT TSOT23-6","digikey:LT6233CS6#TRMPBFCT-ND"
"62","1","U2801","Analog Devices","LTC6655CHLS8-2.5#PBF ","LTC6655CHLS8-2.5#PBF","IC VREF SERIES 0.05% 8CLCC","digikey:LTC6655CHLS8-2.5#PBF-ND"
"63","8","R3301,R3304,R3401,R3404,R3501,R3504,R3601,R3604","Murata","NCP18XH103F03RB ","NCP18XH103F03RB","THERMISTOR NTC 10KOHM 3380K 0603","digikey:490-4800-1-ND"
"64","1","U3002","Nexperia","PBSS4230T,215 ","PBSS4230T,215","TRANS NPN 30V 2A TO236AB","digikey:568-4155-1-ND"
"65","2","J1502,J1503","Sullins","PPPC072LJBN-RC ","PPPC072LJBN-RC","CONN HDR 14POS 0.1 GOLD PCB R/A","digikey:S5560-ND"
"66","12","J201,J202,J203,J204,J701,J702,J703,J704,J1001,J1004,J1201,J1202","Cinch","142-0701-201 ","SMA","CONN SMA JACK STR 50 OHM PCB","digikey:J500-ND"
"67","2","U1704,U1705","Texas Instruments ","SN74AVC4T245PWR ","SN74AVC4T245PWR","IC TRANSLATION TXRX 3.6V 16TSSOP","digikey:296-18056-1-ND"
"68","3","U1701,U1702,U1703","Texas Instruments ","SN74LVC8T245PWR ","SN74LVC8T245PWR","IC TRANSLATION TXRX 5.5V 24TSSOP","digikey:296-18593-1-ND"
"69","1","MIC1601","Knowles ","SPU0410HR5H-PB ","SPU0410HR5H-PB","MIC MEMS ANALOG OMNI -42DB","digikey:423-1138-1-ND"
"70","8","XMER301,XMER401,XMER501,XMER601,XMER2101,XMER2201,XMER2301,XMER2401","Mini-Circuits ","TC1-1+","TC1-1+","1:1 CORE & WIRE TRANSFORMER, 10","digikey:3157-TC1-1+CT-ND"
"71","2","XMER2501,XMER2601","Mini-Circuits ","TC4-6+","TC4-6T+","1:4 CORE & WIRE TRANSFORMER, 10","digikey:3157-TC4-6T+CT-ND"
"72","2","T1001,T1002","Mini-Circuits ","TCM2-43X+ ","TCM2-43X+","1:2 CORE & WIRE TRANSFORMER, 10","digikey:TCM2-43X+"
"73","1","U1001","Mini-Circuits ","TCP-2-33W+ ","TCP-2-33W+","RF PWR DVDR 50MHZ-3GHZ 6SMD","digikey:TCP-2-33W+"
"74","2","U2701,U2901","Texas Instruments ","TPS62110RSAR ","TPS62110RSAR","IC REG BUCK ADJ 1.5A 16QFN","digikey:296-24839-1-ND"
"75","9","J901,J902,J903,J904,J905,J906,J1002,J1003,J1005","Hirose","U.FL-R-SMT(10) ","U.FL-R-SMT(10)","CONN U.FL RCPT STR 50 OHM SMD","digikey:H9161CT-ND"
"76","1","U902","Diodes Incorporated ","ZXCT1009QFTA ","ZXCT1009QFTA","IC CURRENT MONITOR 1% SOT23-3","digikey:ZXCT1009QFTADICT-ND"
